datetime,open,high,low,close,volume,symbol
2022-09-09,291.67001,299.85001,291.25,299.67999,54338100,TSLA
2022-09-12,300.72,305.48999,300.39999,304.42001,48674600,TSLA
2022-09-13,292.89999,297.39999,290.39999,292.13,68229600,TSLA
2022-09-14,292.23999,306.0,291.64001,302.60999,72628700,TSLA
2022-09-15,301.82999,309.12,300.72,303.75,64795500,TSLA
2022-09-16,299.60999,303.70999,295.60001,303.35001,87087800,TSLA
2022-09-19,300.09,309.84,297.79999,309.07001,60231200,TSLA
2022-09-20,306.91,313.32999,305.57999,308.73001,61642800,TSLA
2022-09-21,308.29001,313.79999,300.63,300.79999,62555700,TSLA
2022-09-22,299.85999,301.29001,285.82001,288.59,70545400,TSLA
2022-09-23,283.09,284.5,272.82001,275.32999,63748400,TSLA
2022-09-26,271.82999,284.09,270.31,276.01001,58076900,TSLA
2022-09-27,283.84,288.67001,277.51001,282.94,61925200,TSLA
2022-09-28,283.07999,289.0,277.57001,287.81,54664800,TSLA
2022-09-29,282.76001,283.64999,265.78,268.20999,77620600,TSLA
2022-09-30,266.14999,275.57001,262.47,265.25,67726600,TSLA
2022-10-03,254.5,255.16,241.00999,242.39999,98363500,TSLA
2022-10-04,250.52,257.5,242.00999,249.44,109578500,TSLA
2022-10-05,245.00999,246.67,233.27,240.81,86982700,TSLA
2022-10-06,239.44,244.58,235.35001,238.13,69298400,TSLA
2022-10-07,233.94,234.57001,222.02,223.07001,83916800,TSLA
2022-10-10,223.92999,226.99001,218.36,222.96001,67925000,TSLA
2022-10-11,220.95,225.75,215.0,216.5,77013200,TSLA
2022-10-12,215.33,219.3,211.50999,217.24001,66860700,TSLA
2022-10-13,208.3,222.99001,206.22,221.72,91483000,TSLA
2022-10-14,224.00999,226.25999,204.16,204.99001,94124500,TSLA
2022-10-17,210.03999,221.86,209.45,219.35001,79428800,TSLA
2022-10-18,229.5,229.82001,217.25,220.19,75891900,TSLA
2022-10-19,219.8,222.92999,217.78,222.03999,66571500,TSLA
2022-10-20,208.28,215.55,202.0,207.28,117798100,TSLA
2022-10-21,206.42,214.66,203.8,214.44,75713800,TSLA
2022-10-24,205.82001,213.5,198.59,211.25,100446800,TSLA
2022-10-25,210.10001,224.35001,210.0,222.42,96507900,TSLA
2022-10-26,219.39999,230.60001,218.2,224.64,85012500,TSLA
2022-10-27,229.77,233.81,222.85001,225.09,61638800,TSLA
2022-10-28,225.39999,228.86,216.35001,228.52,69152400,TSLA
2022-10-31,226.19,229.85001,221.94,227.53999,61554300,TSLA
2022-11-01,234.05,237.39999,227.28,227.82001,62688800,TSLA
2022-11-02,226.03999,227.87,214.82001,214.98,63070300,TSLA
2022-11-03,211.36,221.2,210.14,215.31,56538800,TSLA
2022-11-04,222.60001,223.8,203.08,207.47,98622200,TSLA
2022-11-07,208.64999,208.89999,196.66,197.08,93916500,TSLA
2022-11-08,194.02,195.2,186.75,191.3,128803400,TSLA
2022-11-09,190.78,195.89,177.12,177.59,127062700,TSLA
2022-11-10,189.89999,191.0,180.03,190.72,132703000,TSLA
2022-11-11,186.0,196.52,182.59,195.97,114403600,TSLA
2022-11-14,192.77,195.73,186.34,190.95,92226600,TSLA
2022-11-15,195.88,200.82001,192.06,194.42,91293800,TSLA
2022-11-16,191.50999,192.57001,185.66,186.92,66567600,TSLA
2022-11-17,183.96001,186.16,180.89999,183.17,64336000,TSLA
2022-11-18,185.05,185.19,176.55,180.19,76048900,TSLA
2022-11-21,175.85001,176.77,167.53999,167.87,92882700,TSLA
2022-11-22,168.63,170.92,166.19,169.91,78452300,TSLA
2022-11-23,173.57001,183.62,172.5,183.2,109536700,TSLA
2022-11-25,185.06,185.2,180.63,182.86,50672700,TSLA
2022-11-28,179.96001,188.5,179.0,182.92,92905200,TSLA
2022-11-29,184.99001,186.38,178.75,180.83,83357100,TSLA
2022-11-30,182.42999,194.75999,180.63,194.7,109186400,TSLA
2022-12-01,197.08,198.92,191.8,194.7,80046200,TSLA
2022-12-02,191.78,196.25,191.11,194.86,73645900,TSLA
2022-12-05,189.44,191.27,180.55,182.45,93122700,TSLA
2022-12-06,181.22,183.64999,175.33,179.82001,92150800,TSLA
2022-12-07,175.03,179.38,172.22,174.03999,84213300,TSLA
2022-12-08,172.2,175.2,169.06,173.44,97624500,TSLA
2022-12-09,173.84,182.5,173.36,179.05,104872300,TSLA
2022-12-12,176.10001,177.37,167.52,167.82001,109794500,TSLA
2022-12-13,174.87,175.05,156.91,160.95,175862700,TSLA
2022-12-14,159.25,161.62,155.31,156.8,140682300,TSLA
2022-12-15,153.44,160.92999,153.28,157.67,122334500,TSLA
2022-12-16,159.64,160.99001,150.03999,150.23,139032200,TSLA
2022-12-19,154.0,155.25,145.82001,149.87,139390600,TSLA
2022-12-20,146.05,148.47,137.66,137.8,159563300,TSLA
2022-12-21,139.34,141.25999,135.89,137.57001,145417400,TSLA
2022-12-22,136.0,136.63,122.26,125.35,210090300,TSLA
2022-12-23,126.37,128.62,121.02,123.15,166989700,TSLA
2022-12-27,117.5,119.67,108.76,109.1,208643400,TSLA
2022-12-28,110.35,116.27,108.24,112.71,221070500,TSLA
2022-12-29,120.39,123.57,117.5,121.82,221923300,TSLA
2022-12-30,119.95,124.48,119.75,123.18,157777300,TSLA
2023-01-03,118.47,118.8,104.64,108.1,231402800,TSLA
2023-01-04,109.11,114.59,107.52,113.64,180389000,TSLA
2023-01-05,110.51,111.75,107.16,110.34,157986300,TSLA
2023-01-06,103.0,114.39,101.81,113.06,220911100,TSLA
2023-01-09,118.96,123.52,117.11,119.77,190284000,TSLA
2023-01-10,121.07,122.76,114.92,118.85,167642500,TSLA
2023-01-11,122.09,125.95,120.51,123.22,183810800,TSLA
2023-01-12,122.56,124.13,117.0,123.56,169400900,TSLA
2023-01-13,116.55,122.63,115.6,122.4,180714100,TSLA
2023-01-17,125.7,131.7,125.02,131.49001,186477000,TSLA
2023-01-18,136.56,136.67999,127.01,128.78,195680300,TSLA
2023-01-19,127.26,129.99001,124.31,127.17,170291900,TSLA
2023-01-20,128.67999,133.50999,127.35,133.42,138858100,TSLA
2023-01-23,135.87,145.38,134.27,143.75,203119200,TSLA
2023-01-24,143.0,146.5,141.10001,143.89,158699100,TSLA
2023-01-25,141.91,146.41,138.07001,144.42999,192734300,TSLA
2023-01-26,159.97,161.42,154.75999,160.27,234815100,TSLA
2023-01-27,162.42999,180.67999,161.17,177.89999,306590600,TSLA
2023-01-30,178.05,179.77,166.5,166.66,230878800,TSLA
2023-01-31,164.57001,174.3,162.78,173.22,196813500,TSLA
2023-02-01,173.89,183.81,169.92999,181.41,213806300,TSLA
2023-02-02,187.33,196.75,182.61,188.27,217448300,TSLA
2023-02-03,183.95,199.0,183.69,189.98,232662000,TSLA
2023-02-06,193.00999,198.17,189.92,194.75999,186188100,TSLA
2023-02-07,196.42999,197.5,189.55,196.81,186010300,TSLA
2023-02-08,196.10001,203.0,194.31,201.28999,180673600,TSLA
2023-02-09,207.78,214.0,204.77,207.32001,215431400,TSLA
2023-02-10,202.23,206.2,192.89,196.89,204754100,TSLA
2023-02-13,194.42,196.3,187.61,194.64,172475500,TSLA
2023-02-14,191.94,209.82001,189.44,209.25,216455700,TSLA
2023-02-15,211.75999,214.66,206.11,214.24001,181006400,TSLA
2023-02-16,210.78,217.64999,201.84,202.03999,229586500,TSLA
2023-02-17,199.99001,208.44,197.5,208.31,213738500,TSLA
2023-02-21,204.99001,209.71001,197.22,197.37,180018600,TSLA
2023-02-22,197.92999,201.99001,191.78,200.86,191828500,TSLA
2023-02-23,203.91,205.14,196.33,202.07001,146360000,TSLA
2023-02-24,196.33,197.67,192.8,196.88,142228100,TSLA
2023-02-27,202.03,209.42,201.25999,207.63,161028300,TSLA
2023-02-28,210.59,211.23,203.75,205.71001,153144900,TSLA
2023-03-01,206.21001,207.2,198.52,202.77,156852800,TSLA
2023-03-02,186.74001,193.75,186.00999,190.89999,181500700,TSLA
2023-03-03,194.8,200.48,192.88,197.78999,154193300,TSLA
2023-03-06,198.53999,198.60001,192.3,193.81,128100100,TSLA
2023-03-07,191.38,194.2,186.10001,187.71001,148125800,TSLA
2023-03-08,185.03999,186.5,180.0,182.0,151897800,TSLA
2023-03-09,180.25,185.17999,172.50999,172.92,170023800,TSLA
2023-03-10,175.13,178.28999,168.44,173.44,191488900,TSLA
2023-03-13,167.46001,177.35001,163.91,174.48,167790300,TSLA
2023-03-14,177.31,183.8,177.14,183.25999,143717900,TSLA
2023-03-15,180.8,182.34,176.03,180.45,145995600,TSLA
2023-03-16,180.37,185.81,178.84,184.13,121136800,TSLA
2023-03-17,184.52,186.22,177.33,180.13,133197100,TSLA
2023-03-20,178.08,186.44,176.35001,183.25,129684400,TSLA
2023-03-21,188.28,198.0,188.03999,197.58,153391400,TSLA
2023-03-22,199.3,200.66,190.95,191.14999,150376400,TSLA
2023-03-23,195.25999,199.31,188.64999,192.22,144193900,TSLA
